,state,region,lat,lon,area_m2,price_brl
36,Pernambuco,Northeast,-8.109441,-34.898106,130,778539.59
37,Pernambuco,Northeast,-8.109441,-34.898106,100,718651.91
38,Pernambuco,Northeast,-8.109441,-34.898106,128,938240.02
39,Pernambuco,Northeast,-8.046015,-34.910507,55,369307.22
40,Pernambuco,Northeast,-8.086438,-34.89069,,444166.8
41,Pernambuco,Northeast,-8.0415623,-34.9416901,60,309419.57
42,Pernambuco,Northeast,-8.040035,-34.899654,182,1497191.5
43,Pernambuco,Northeast,-8.046015,-34.910507,55,389269.77
44,Pernambuco,Northeast,-8.056418,-34.909309,133,873361.7
45,Pernambuco,Northeast,-8.033291,-34.898014,113,918277.46
46,Pernambuco,Northeast,-8.048381,-34.908379,123,798502.15
47,Pernambuco,Northeast,-8.02765,-34.920338,105,828445.97
48,Pernambuco,Northeast,-8.0332786,-34.9069915,,798502.15
49,Pernambuco,Northeast,-8.0332786,-34.9069915,180,798502.15
50,Pernambuco,Northeast,-8.094985,-34.892761,160,1497191.5
51,Pernambuco,Northeast,-8.021971,-34.931366,,948221.29
52,Pernambuco,Northeast,-8.0330615,-34.8950223,160,1247659.6
53,Pernambuco,Northeast,-8.03145,-34.917198,55,239550.63
54,Pernambuco,Northeast,-8.126271,-34.903793,240,998127.67
55,Pernambuco,Northeast,-8.0288008,-34.9190997,155,988146.4
56,Pernambuco,Northeast,-8.027162,-34.913445,117,638801.71
57,Pernambuco,Northeast,-8.0124263,-34.9074499,238,1048034.05
58,Pernambuco,Northeast,-8.048381,-34.908379,167,598876.59
59,Pernambuco,Northeast,-8.085706,-34.890419,71,379288.51
60,Pernambuco,Northeast,-8.032375,-34.906925,,429194.89
61,Pernambuco,Northeast,-8.032375,-34.906925,61,449157.45
62,Pernambuco,Northeast,-8.027666,-34.881813,160,578914.03
63,Pernambuco,Northeast,-8.040233,-34.898281,82,529007.65
64,Pernambuco,Northeast,-8.035595,-34.921719,,1397378.74
65,Pernambuco,Northeast,-8.0295901,-34.909819,210,808483.41
66,Pernambuco,Northeast,-8.048997,-34.91011,175,798502.15
67,Pernambuco,Northeast,-8.027162,-34.913445,62,359325.95
68,Pernambuco,Northeast,-8.027162,-34.913445,62,369307.22
69,Pernambuco,Northeast,-8.027162,-34.913445,,349344.66
70,Pernambuco,Northeast,-8.021971,-34.931366,150,998127.67
71,Pernambuco,Northeast,-8.047531,-34.9142641,,314410.19
72,Pernambuco,Northeast,-8.0294182,-34.9243177,240,1597004.3
73,Pernambuco,Northeast,-8.021971,-34.931366,204,1097940.43
74,Pernambuco,Northeast,-8.149876,-34.910686,78,299438.28
75,Pernambuco,Northeast,-8.035618,-34.89333,149,1096942.3
76,Pernambuco,Northeast,-8.037489,-34.89537,80,439176.16
77,Pernambuco,Northeast,-8.027162,-34.913445,79,474110.62
78,Pernambuco,Northeast,-8.0356845,-34.9234524,238,1447285.12
79,Pernambuco,Northeast,-8.116955,-34.896206,128,743605.12
80,Pernambuco,Northeast,-8.117513,-34.899639,129,758577.03
81,Pernambuco,Northeast,-8.117513,-34.899639,129,1048034.05
82,Pernambuco,Northeast,-8.034344,-34.896725,67,439176.16
83,Pernambuco,Northeast,-8.035971,-34.895073,135,848408.53
84,Pernambuco,Northeast,-8.126271,-34.903793,,978165.11
85,Pernambuco,Northeast,-8.125065,-34.906685,70,429194.89
86,Pernambuco,Northeast,-8.032252,-34.893612,134,678726.79
87,Pernambuco,Northeast,-8.041807,-34.894043,105,558951.47
88,Pernambuco,Northeast,-8.119507,-34.895363,200,1097940.43
89,Pernambuco,Northeast,-8.183491,-34.921719,148,588895.33
90,Pernambuco,Northeast,-8.183491,-34.921719,238,748595.73
91,Pernambuco,Northeast,-8.103477,-34.888622,140,948221.29
92,Pernambuco,Northeast,-8.2027839,-34.9170501,58,279475.72
93,Pernambuco,Northeast,-8.0584269,-34.8834188,118,279475.72
94,Pernambuco,Northeast,-8.043853,-34.907928,203,1349987.64
95,Pernambuco,Northeast,-8.183698,-34.931366,53,364316.6
96,Pernambuco,Northeast,-8.1423048,-34.9096799,,329382.13
97,Pernambuco,Northeast,-8.1440884,-34.908476,75,449157.45
98,Pernambuco,Northeast,-8.108721,-34.897616,101,598876.59
99,Pernambuco,Northeast,-8.027162,-34.913445,58,319400.84
100,Pernambuco,Northeast,-8.1431534,-34.904241,,648782.97
101,Pernambuco,Northeast,-8.1404559,-34.907893,94,299438.28
102,Pernambuco,Northeast,-8.1098693,-34.897672,,299438.28
103,Pernambuco,Northeast,-8.1098693,-34.897672,,319400.84
104,Pernambuco,Northeast,-8.040233,-34.898281,,648782.97
105,Pernambuco,Northeast,-8.02765,-34.920338,64,359325.95
106,Pernambuco,Northeast,-8.192952,-34.931366,64,239550.63
107,Pernambuco,Northeast,-8.152399,-34.920338,148,648782.97
108,Pernambuco,Northeast,-8.1869427,-35.5808245,,259513.19
109,Pernambuco,Northeast,-8.041209,-34.895039,94,399251.07
110,Pernambuco,Northeast,-8.0347457,-34.8972145,128,738614.47
111,Pernambuco,Northeast,-8.035595,-34.921719,216,1497191.5
112,Pernambuco,Northeast,-8.129817,-34.914825,135,698689.35
113,Pernambuco,Northeast,-8.109441,-34.898106,130,698689.35
114,Pernambuco,Northeast,-8.1230628,-34.903959,,489082.54
115,Pernambuco,Northeast,-8.0331805,-34.8968813,,964534.63
116,Pernambuco,Northeast,-8.0373731,-34.8971001,145,748595.73
117,Pernambuco,Northeast,-8.056418,-34.909309,112,731015.72
118,Pernambuco,Northeast,-8.033863,-34.918545,200,1616966.85
119,Pernambuco,Northeast,-8.108315,-34.898277,108,798502.15
120,Pernambuco,Northeast,-8.113885,-34.89584,,798502.15
121,Pernambuco,Northeast,-8.115533,-34.896854,86,748595.73
122,Pernambuco,Northeast,-8.126271,-34.903793,135,648782.97
123,Pernambuco,Northeast,-8.040929,-34.888283,60,466125.61
124,Pernambuco,Northeast,-8.038549,-34.901844,75,369307.22
125,Pernambuco,Northeast,-8.027162,-34.913445,180,898314.91
126,Pernambuco,Northeast,-8.0620223,-34.8971463,93,349344.66
127,Pernambuco,Northeast,-8.0373731,-34.8971001,110,807676.27
128,Pernambuco,Northeast,-8.1208606,-34.899662,175,858389.79
129,Pernambuco,Northeast,-8.1460785,-34.906419,170,798502.15
130,Pernambuco,Northeast,-8.056418,-34.909309,67,399251.07
131,Pernambuco,Northeast,-8.089291,-34.903793,119,865070.26
132,Pernambuco,Northeast,-8.183491,-34.921719,54,299438.28
133,Pernambuco,Northeast,-8.046962,-34.899654,100,598876.59
134,Pernambuco,Northeast,-8.1092891,-34.907094,73,409232.33
135,Pernambuco,Northeast,-8.1092891,-34.907094,73,389269.77
136,Pernambuco,Northeast,-8.028039,-34.8992006,,329382.13
137,Pernambuco,Northeast,-8.0938881,-34.883418,66,439176.16
138,Pernambuco,Northeast,-8.09607,-34.884548,145,469120.01
139,Pernambuco,Northeast,-8.1460785,-34.906419,167,848408.53
140,Pernambuco,Northeast,-8.004057,-34.841721,75,399251.07
141,Pernambuco,Northeast,-8.034344,-34.896725,55,359325.95
142,Pernambuco,Northeast,-8.0508763,-34.9113739,155,1147846.81
143,Pernambuco,Northeast,-8.049178,-34.924473,200,848408.53
144,Pernambuco,Northeast,-8.0310293,-34.9275023,140,948221.29
145,Pernambuco,Northeast,-8.0314434,-34.92159,190,1077977.9
146,Pernambuco,Northeast,-8.044832,-34.910873,65,367310.97
147,Pernambuco,Northeast,-8.089291,-34.903793,109,836430.98
148,Pernambuco,Northeast,-8.108554,-34.891766,102,778539.59
149,Pernambuco,Northeast,-8.126271,-34.903793,165,598876.59
150,Pernambuco,Northeast,-8.034408,-34.893291,,988146.4
151,Pernambuco,Northeast,-8.0369,-34.884521,65,348346.53
152,Pernambuco,Northeast,-8.056418,-34.909309,95,598876.59
153,Pernambuco,Northeast,-8.056418,-34.909309,86,568932.77
154,Pernambuco,Northeast,-8.1241574,-34.9000543,74,474509.81
155,Pernambuco,Northeast,-8.1937545,-34.9228696,63,312974.53
156,Pernambuco,Northeast,-8.1416581,-34.9099297,125,636045.06
157,Pernambuco,Northeast,-8.1103967,-34.9063162,110,610805.16
158,Pernambuco,Northeast,-8.1103967,-34.9063162,120,686524.82
159,Pernambuco,Northeast,-8.1978842,-34.92564,64,254522.54
