,property_type,place_with_parent_names,region,lat-lon,area_m2,price_usd
5406,apartment,|Brasil|Espírito Santo|Guarapari|,Southeast,"-20.6525916,-40.4836928",90,"$75,752.79 "
5407,apartment,|Brasil|Espírito Santo|Guarapari|,Southeast,"-20.6530898,-40.4868586",75,"$78,909.15 "
5408,apartment,|Brasil|Espírito Santo|Vila Velha|Praia da Costa|,Southeast,"-20.328533,-40.280777",100,"$193,471.88 "
5409,apartment,|Brasil|Espírito Santo|Vila Velha|Praia de Itaparica|,Southeast,"-20.365431,-40.302483",110,"$156,025.71 "
5410,apartment,|Brasil|Espírito Santo|Vila Velha|Praia da Costa|,Southeast,"-20.332193,-40.289715",180,"$243,400.11 "
5411,apartment,|Brasil|Espírito Santo|Vila Velha|Praia de Itaparica|,Southeast,"-20.365431,-40.302483",115,"$163,826.99 "
5412,apartment,|Brasil|Espírito Santo|Vila Velha|Praia da Costa|,Southeast,"-20.328533,-40.280777",70,"$109,217.99 "
5413,apartment,|Brasil|Espírito Santo|Vila Velha|Praia da Costa|,Southeast,"-20.328533,-40.280777",70,"$118,579.54 "
5414,apartment,|Brasil|Espírito Santo|Vila Velha|Praia da Costa|,Southeast,"-20.328533,-40.280777",125,"$131,061.59 "
5415,apartment,|Brasil|Espírito Santo|Vila Velha|Praia da Costa|,Southeast,"-20.328533,-40.280777",145,"$279,286.02 "
5416,apartment,|Brasil|Espírito Santo|Vila Velha|Praia da Costa|,Southeast,"-20.328533,-40.280777",70,"$112,338.51 "
5417,apartment,|Brasil|Espírito Santo|Guarapari|,Southeast,"-20.6525916,-40.4836928",130,"$236,727.47 "
5418,house,|Brasil|Espírito Santo|Vila Velha|Morada do Sol|,Southeast,"-20.508905,-40.372643",130,"$118,579.54 "
5419,house,|Brasil|Espírito Santo|Vila Velha|,Southeast,"-20.3833732,-40.3224679",80,"$109,217.99 "
5420,house,|Brasil|Espírito Santo|Vila Velha|,Southeast,"-20.3595311,-40.3073703",100,"$98,296.19 "
5421,house,|Brasil|Espírito Santo|Vila Velha|Praia das Gaivotas|,Southeast,"-20.365431,-40.302483",120,"$154,465.45 "
5422,apartment,|Brasil|Espírito Santo|Vila Velha|Itapuã|,Southeast,,78,"$123,260.31 "
5423,apartment,|Brasil|Espírito Santo|Vila Velha|Itapuã|,Southeast,"-20.328533,-40.280777",90,"$98,296.19 "
5424,apartment,|Brasil|Espírito Santo|Guarapari|,Southeast,"-20.6514617,-40.4756215",105,"$116,785.55 "
