operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|Tlalpan|Distrito Federal|México|,"19.299774,-99.112124",4200000,MXN,4162005.63,221283.23,,117,,35897.4359,,,,http://granjas-coapa.properati.com.mx/p3ck_venta_departamento_granjas-coapa_calzada-del-hueso_859_bandin-city-house
sell,house,|Benito Juárez|Quintana Roo|México|,"21.1167011577,-86.8499898183",4850000,MXN,4807265.26,255590.04,988,526,258.6943725,9220.532319,,,,http://cancun.properati.com.mx/l9iw_venta_casa_cancun_raices-real-estate
sell,house,|Álvaro Obregón|Distrito Federal|México|,"19.325361,-99.26414",2100000,MXN,2081496.25,110667.85,,133,,15789.47368,,,,http://alvaro-obregon.properati.com.mx/qxec_venta_casa_alvaro-obregon_camino-al-desierto-de-los-leones_6527_gustavo-tejeda-gaytan
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.377169,-99.187643",1072666,MXN,1062962.18,56514.99,,75,,14302.21333,,,,http://benito-juarez.properati.com.mx/o199_venta_departamento_benito-juarez_avenida-revolucion_829_janete-angeles-salvador
sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.430525,-99.172792",1500000,MXN,1486782.95,79048.46,,266,,5639.097744,,,,http://cuauhtemoc.properati.com.mx/qwsm_venta_departamento_cuauhtemoc_rio-nilo_0_alberto-carrillo-mendez
sell,apartment,|Álvaro Obregón|Distrito Federal|México|,"19.365766,-99.263112",3420000,MXN,3389865.35,180230.5,,90,,38000,,,,http://alvaro-obregon.properati.com.mx/r31h_venta_departamento_alvaro-obregon_guillermo-gonzalez-camarena_900_ivan-andres-martinez
sell,house,|Tlalpan|Distrito Federal|México|,"19.285929,-99.180908",790075,MXN,782927.69,41626.27,63,63,660.7344444,12540.87302,,,,http://tlalpan.properati.com.mx/pkb0_venta_casa_tlalpan_bienes-raices-h-a-h-n-y-asociados-s-a-de-c-v
sell,apartment,|Venustiano Carranza|Distrito Federal|México|,"19.427443,-99.096555",1750000,MXN,1734168.9,92201.34,,72,,24305.55556,,,,http://venustiano-carranza.properati.com.mx/k4cp_venta_departamento_venustiano-carranza_oriente-172_97
sell,house,|Miguel Hidalgo|Distrito Federal|México|,,18900000,MXN,18729025.43,995774.54,0,250,,75600,,,,http://miguel-hidalgo-df.properati.com.mx/qr3g_venta_casa_miguel-hidalgo_estudio-inmobiliario
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.391074,-99.165737",1250000,MXN,1238692.07,65858.1,,107,,11682.24299,,,,http://benito-juarez.properati.com.mx/nkf6_venta_departamento_benito-juarez_cordoba_1_alejandra-sanchez_c9s
