operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,house,|Solidaridad|Quintana Roo|México|,"20.503029,-87.222649",850000,USD,15987225,850000,0,0,,,,,,http://playa-del-carmen.properati.com.mx/rdgt_venta_casa_playa-del-carmen_ferrer-inmobiliaria
sell,house,|Coyoacán|Distrito Federal|México|,"19.342077,-99.127866",6310000,MXN,6252917.98,332451.71,,330,,19121.21212,,,,http://paseos-de-taxquena.properati.com.mx/qd0g_venta_casa_paseos-de-taxquena_paseo-de-la-luz_266_patricia-macias
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.389011,-99.180415",1000000,MXN,990953.65,52686.48,,65,,15384.61538,,,,http://benito-juarez.properati.com.mx/n36r_venta_departamento_benito-juarez_indiana_80_gamaliel-cruz-cruz
sell,apartment,|Iztacalco|Distrito Federal|México|,"23.634501,-102.552788",922096,MXN,913754.35,48581.99,,66,,13971.15152,,,,http://iztacalco.properati.com.mx/p2qv_venta_departamento_iztacalco_jorge-trejo_c56
sell,house,|Tabasco|Zacatecas|México|,"23.634501,-102.552788",4000000,MXN,3963814.82,210745.93,,246,,16260.1626,,,,http://tabasco-zacatecas.properati.com.mx/m65k_venta_casa_tabasco_cerrada-5-estrellas-col-buena-vista-rio-nuevo-1ra-seccion-tab_2_marbel-montuy-villegas
sell,house,|Benito Juárez|Quintana Roo|México|,"21.1081656395,-86.7618812625",199000,USD,3742891.5,199000,80,80,2487.5,2487.5,1,,,http://cancun.properati.com.mx/lici_venta_casa_cancun_century-21-caribbean-paradise
sell,apartment,|Gustavo A. Madero|Distrito Federal|México|,"19.469681,-99.086136",1150000,MXN,1139596.67,60589.45,,52,,22115.38462,,,,http://san-juan-de-aragon.properati.com.mx/oi9k_venta_departamento_san-juan-de-aragon_inventario-inmobiliario-5
sell,house,|Gustavo A. Madero|Distrito Federal|México|,"19.537477,-99.144234",,,,,0,0,,,,,,http://gustavo-a-madero.properati.com.mx/r60l_venta_casa_gustavo-a-madero_bienes-raices-h-a-h-n-y-asociados-s-a-de-c-v
sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.429437,-99.14346",636418,MXN,630660.66,33530.62,,69,,9223.449275,,,,http://cuauhtemoc.properati.com.mx/pfui_venta_departamento_cuauhtemoc_buen-tono_2_adami-delgadillo
sell,house,|Coyoacán|Distrito Federal|México|,"19.2985015595,-99.1075721383",2870000,MXN,2844711.51,151246.06,0,0,,,,,,http://coyoacan.properati.com.mx/qtlz_venta_casa_coyoacan_numecsa-sa-de-cv
sell,house,|Gustavo A. Madero|Distrito Federal|México|,"19.522644,-99.138341",2800000,MXN,2774670.35,147522.15,,376,,7446.808511,,,,http://la-pastora.properati.com.mx/lnm8_venta_casa_la-pastora_ahuizotl_14_felipe-ruiz-hernandez_5d4
