operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|Gustavo A. Madero|Distrito Federal|México|,"19.5010872,-99.1230477",2715592,MXN,2691025.94,143074.99,0,,,,,,,http://lindavista-norte.properati.com.mx/qygs_venta_departamento_lindavista-norte_co83-inmobiliaria-constructora
sell,house,|Benito Juárez|Quintana Roo|México|,"21.161908,-86.8515279",5050000,MXN,5005502.9,266129.83,400,338,665.324575,14940.8284,2,,,http://cancun.properati.com.mx/d0mg_venta_casa_cancun
sell,store,|Gustavo A. Madero|Distrito Federal|México|,,9500000,MXN,9416292.89,500640.29,340,1050,1472.471441,9047.619048,,,,http://gustavo-a-madero.properati.com.mx/i3tn_venta_local_gustavo-a-madero
sell,house,|Benito Juárez|Quintana Roo|México|,"21.141616,-86.86109",810000,MXN,802672.48,42676.05,92,78,463.8701087,10384.61538,,,,http://cancun.properati.com.mx/qr5j_venta_casa_cancun_bienestar-cancun
sell,apartment,|Iztapalapa|Distrito Federal|México|,"19.3603443968,-99.089448452",500000,MXN,495476.82,26343.24,48,,548.8175,,,2,,http://san-pablo.properati.com.mx/9e3n_venta_departamentos_iztapalapa
sell,house,|Cuauhtémoc|Distrito Federal|México|,"19.461417,-99.1331631",11000000,MXN,10903075.85,579688.75,1005,446,576.8047264,24663.67713,,,,http://cuauhtemoc.properati.com.mx/ilsw_venta_casa_cuauhtemoc
sell,apartment,|Iztacalco|Distrito Federal|México|,"19.40135,-99.114726",556422,MXN,551388.29,29315.91,,65,,8560.338462,,,,http://iztacalco.properati.com.mx/p9de_venta_departamento_iztacalco_colica_0_ricardo-bahena-leyte
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.45756,-99.194748",850000,MXN,842310.64,44783.51,,45,,18888.88889,,,,http://miguel-hidalgo-df.properati.com.mx/pijc_venta_departamento_miguel-hidalgo_inventario-inmobiliario-5
sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.458118,-99.125557",919232,MXN,910916.34,48431.1,,45,,20427.37778,,,,http://cuauhtemoc.properati.com.mx/p1c2_venta_departamento_cuauhtemoc_inventario-inmobiliario-8
sell,apartment,|Tláhuac|Distrito Federal|México|,"19.2834131562,-99.0550598502",165000,MXN,163507.18,8693.26,48,48,181.1095833,3437.5,,,,http://tlahuac.properati.com.mx/bif0_venta_departamento_tlahuac
sell,apartment,|Benito Juárez|Distrito Federal|México|,,1301031,MXN,1289261.35,68546.74,,10,,130103.1,,,,http://benito-juarez.properati.com.mx/o65e_venta_departamento_benito-juarez_calle-virginia_4_edmundo-pardavell-juarez
sell,apartment,|Azcapotzalco|Distrito Federal|México|,"19.484703,-99.211365",1343818,MXN,1331661.36,70801.04,,80,,16797.725,,,,http://san-pedro-xalpa.properati.com.mx/pd15_venta_departamento_san-pedro-xalpa_calzada-san-isidro_630_claudia-salinas
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.403504,-99.154502",1371333,MXN,1358927.47,72250.71,,60,,22855.55,,,,http://benito-juarez.properati.com.mx/lizf_venta_departamento_benito-juarez_11-de-abril_0_jesus-cid-del-prado
sell,house,|Coyoacán|Distrito Federal|México|,"19.341471,-99.174675",16115000,MXN,15969219.24,849042.68,,460,,35032.6087,,,,http://romero-de-terreros.properati.com.mx/jdkh_venta_casa_romero-de-terreros
sell,apartment,|Solidaridad|Quintana Roo|México|,"20.6135585111,-87.0897331252",155000,USD,2915317.5,155000,106,106,1462.264151,1462.264151,,,,http://playa-del-carmen.properati.com.mx/gojl_venta_departamento_playa-del-carmen
sell,apartment,|Benito Juárez|Quintana Roo|México|,"21.129547,-86.817017",2800000,MXN,2775328.27,147557.13,125,125,1180.45704,22400,,,,http://cancun.properati.com.mx/nfn9_venta_departamento_cancun_century-21-caribbean-paradise
sell,apartment,|Solidaridad|Quintana Roo|México|,"20.631489,-87.066256",225000,USD,4231912.5,225000,,45,,5000,,,,http://solidaridad-quintana-roo.properati.com.mx/qywa_venta_departamento_solidaridad_calle-28_david-selva
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.434723,-99.175887",2501000,MXN,2478375.16,131768.89,,87,,28747.12644,,,,http://veronica-anzures.properati.com.mx/py96_venta_departamento_veronica-anzures_bahia-de-chachalacas_78_jose-camacho
sell,house,|La Magdalena Contreras|Distrito Federal|México|,"19.3189618,-99.2266013",10500000,MXN,10407481.65,553339.27,550,200,1006.0714,52500,,,,http://san-jeronimo-aculco-la-magdalena-contreras.properati.com.mx/pyx3_venta_casa_san-jeronimo-aculco_inmobiliaria-arsa
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.364993,-99.155739",1300000,MXN,1288239.68,68492.42,,70,,18571.42857,,,,http://benito-juarez.properati.com.mx/pf1y_venta_departamento_benito-juarez_republicas_220_juan-carlos-monter
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.452419,-99.175058",980000,MXN,971134.57,51632.75,,90,,10888.88889,,,,http://popotla.properati.com.mx/ptpz_venta_departamento_popotla_calzada-mexico-tacuba_362_ivan-andres
